names(r),ibd_gwas_genes_rank,original_immune_network_rank,cd_versus_cl_DE_SIG_rank,cd_versus_cl_colon_DE_SIG_rank,cd_versus_uc_colon_DE_SIG_rank,CRP_SIG_rank,disease_duration_SIG_rank,veo_ibd_rank
SLAMF8,0.489695234,0.204822153,0.728415692,0.386249702,0.384339938,0.37136946,0.332219305,0.308188112
SMAP2,0.13559322,0.881355932,0.305084746,0.305084746,0.271186441,0.644067797,0.525423729,0.627118644
SNX10,0.683098592,0.732394366,0.429577465,0.690140845,0.704225352,0.661971831,0.690140845,0.394366197
SNX20,0.352112676,0.704225352,0.126760563,0.478873239,0.507042254,0.084507042,0.845070423,0.704225352
SPI1,0.478037718,0.173549773,0.895559799,0.665671998,0.648722846,0.325972786,0.356887085,0.418357603
ST3GAL1,0.677966102,0.644067797,0.220338983,0.881355932,0.881355932,0.457627119,0.474576271,0.983050847
ST3GAL5,0.957746479,0.746478873,0.563380282,0.070422535,0.112676056,0.929577465,0.309859155,0.366197183
STAT1,0.366197183,0.211267606,0.929577465,0.676056338,0.676056338,0.521126761,0.901408451,0.774647887
STAT4,0.86440678,0.203389831,0.457627119,0.728813559,0.711864407,0.406779661,0.949152542,0.338983051
STAT5A,0.676056338,0.450704225,0.732394366,0.295774648,0.295774648,0.309859155,0.76056338,0.084507042
STX11,0.658629745,0.576032466,0.390307949,0.8856529,0.8856529,0.529243256,0.991525424,0.488660778
TAGAP,0.521126761,0.732394366,0.14084507,0.042253521,0.042253521,0.718309859,0.563380282,0.211267606
TAP1,0.084507042,0.985915493,0.633802817,0.211267606,0.253521127,0.633802817,0.718309859,0.507042254
TFEC,0.440677966,0.06779661,0.050847458,0.983050847,0.983050847,0.033898305,0.084745763,0.389830508
TLR2,0.728813559,0.169491525,0.983050847,0.93220339,0.93220339,0.491525424,0.491525424,1
TNFAIP2,0.436619718,0.830985915,0.633802817,0.887323944,0.887323944,0.732394366,0.521126761,0.929577465
TNFAIP8L2,0.605633803,0.225352113,0.366197183,0.788732394,0.788732394,0.450704225,0.338028169,0.873239437
UBE2L6,0.461685366,0.747791836,0.639174027,0.662687992,0.652781093,0.69264741,0.644903318,0.823585581
VNN2,0.830985915,0.85915493,0.042253521,0.14084507,0.14084507,0.563380282,0.633802817,0.309859155
